,Item,Discounted Price,url link
0,F&N Flavoured Bottle Drink - Outrageous Orange,$1.30,https://www.fairprice.com.sg/product/f-n-pet-orange-15lt-454330
1,Dutch Lady Marvel UHT Kid Milk - Full Cream,$2.50,https://www.fairprice.com.sg/product/dutch-lady-uht-kid-milk-marvel-full-cream-4s-x-125ml-13083128
2,Essence Delicate Laundry Detergent Refill - Anti-Bacteria,$6.75,https://www.fairprice.com.sg/product/essence-delicate-detergent-refill-anti-bacterial-800ml-11808654
3,Pocari Sweat Ion Supply Bottle Drinks,$3.95,https://www.fairprice.com.sg/product/pocari-sweat-ion-supply-drinks-4s-x-500ml-12576170
4,Wong Coco Jubes Nata De Coco - Strawberry,$1.48,https://www.fairprice.com.sg/product/10238063
5,FairPrice Cafe White 2 in 1 Instant Coffee - Coffee & Creamer,$3.55,https://www.fairprice.com.sg/product/fairprice-cafe-white-coffee-and-creamer-30s-x-12g-10613353
6,Rio Bottle Cocktail - Grape & Brandy,$4.60,https://www.fairprice.com.sg/product/13109813
7,Kirei Kirei Anti-bacterial Body Wash - Refreshing Grape ,$9.95,https://www.fairprice.com.sg/product/kirei-kirei-anti-bac-foaming-body-wash-grape-900ml-13099095
8,Tesco Fruity Red Wine,$16.50,https://www.fairprice.com.sg/product/13150140
9,Heaven & Earth Bottle Drink - Jasmine Green Tea,$2.05,https://www.fairprice.com.sg/product/heaven-earth-jasmine-green-tea-15lt-11170080
10,Lurpak Butter - Unsalted,$6.00,https://www.fairprice.com.sg/product/13077773
11,UIC Big Value Detergent Powder - AntiBacterial(Citrus),$7.95,https://www.fairprice.com.sg/product/13084376
12,Wong Coco Jubes Nata De Coco - Pandan,$1.48,https://www.fairprice.com.sg/product/wong-coco-jubes-nata-de-coco-pandan-360g-10238071
13,Drypers Wee Wee Dry Diapers - L (9 - 14kg),$16.90,https://www.fairprice.com.sg/product/drypers-wee-wee-dry-diapers---l-9---14kg-13148535
14,Carlsberg Can Beer - Green Label,$46.50,https://www.fairprice.com.sg/product/carlsberg-can-beer-green-label-24-x-320ml-ctn-11450162
15,Lurpak Butter - Salted,$6.00,https://www.fairprice.com.sg/product/lurpak-butter---salted-13077771
16,Vitagen Cultured Milk Collagen - Less Sugar (Assorted),$4.00,https://www.fairprice.com.sg/product/vitagen-collagen-cultured-milk-less-sugar-5s-x-125ml-11591643
17,Carlsberg Can Beer - Green Label,$23.25,https://www.fairprice.com.sg/product/carlsberg-green-label-beer-12s-x-323ml-12628583
18,NuFresh Anti-Bacterial Wipes ,$5.90,https://www.fairprice.com.sg/product/nufresh-anti-bacterial-wipes-60s-13086875
